Salario_Inicial_SM,Salario_Inicial_PYG,Salario_Final_SM,Salario_Final_PYG,Capital_Final_PYG,Retiro_Mensual_SM,Retiro_Mensual_PYG,Tasa_Reemplazo_%,Aporte_Total_PYG,Consumo_Total_Retiro_PYG,ROI_Aporte,Categoria_Retiro
1,2818316,4.321942375150669,12180599.346965132,1547112558.0577638,1.6174536992759387,4558495.639928566,37.424231025744575,496388263.05609,820529215.1871419,1.652998824217617,MINIMO
2,5636632,8.643884750301337,24361198.693930265,3094225116.1155276,3.2349073985518775,9116991.279857133,37.424231025744575,992776526.11218,1641058430.3742838,1.652998824217617,ADECUADO
3,8454948,12.965827125452,36541798.04089538,4641337674.173297,4.8523610978278215,13675486.919785716,37.42423102574464,1489164789.168274,2461587645.561429,1.6529988242176148,ADECUADO
5,14091580,21.609711875753334,60902996.73482563,7735562790.288834,8.087268496379709,22792478.199642874,37.42423102574467,2481941315.280449,4102646075.935717,1.6529988242176208,ADECUADO
