salario_inicial_sm_2024,edad,salario_pyg_real,salario_sm_2024_ref,capital_pyg_real,aporte_mensual_pyg_real,anos_experiencia
1,45.083333333333336,4355001.89600442,1.5452496795974688,247545288.21440864,958100.4171209723,15.083333333333336
1,45.166666666666664,4355001.89600442,1.5452496795974688,250153690.55295897,958100.4171209723,15.166666666666664
1,45.25,4355001.89600442,1.5452496795974688,252779482.24043298,958100.4171209723,15.25
1,45.333333333333336,4355001.89600442,1.5452496795974688,255422779.20582348,958100.4171209723,15.333333333333336
1,45.416666666666664,4355001.89600442,1.5452496795974688,258083698.15098324,958100.4171209723,15.416666666666664
1,45.5,4355001.89600442,1.5452496795974688,260762356.5557774,958100.4171209723,15.5
1,45.583333333333336,4355001.89600442,1.5452496795974688,263458872.6832702,958100.4171209723,15.583333333333336
1,45.666666666666664,4355001.89600442,1.5452496795974688,266173365.58494627,958100.4171209723,15.666666666666664
1,45.75,4355001.89600442,1.5452496795974688,268905955.10596687,958100.4171209723,15.75
1,45.833333333333336,4355001.89600442,1.5452496795974688,271656761.89046097,958100.4171209723,15.833333333333336
1,45.916666666666664,4355001.89600442,1.5452496795974688,274425907.38685167,958100.4171209723,15.916666666666664
1,46.0,4398551.914964464,1.5607021763934432,277213513.8532183,967681.4212921819,16.0
1,46.08333333333333,4398551.914964464,1.5607021763934432,280029285.3668653,967681.4212921819,16.08333333333333
1,46.16666666666667,4398551.914964464,1.5607021763934432,282863828.6906032,967681.4212921819,16.16666666666667
1,46.25,4398551.914964464,1.5607021763934432,285717268.9698327,967681.4212921819,16.25
1,46.33333333333333,4398551.914964464,1.5607021763934432,288589732.1842571,967681.4212921819,16.33333333333333
1,46.41666666666667,4398551.914964464,1.5607021763934432,291481345.1534443,967681.4212921819,16.41666666666667
1,46.5,4398551.914964464,1.5607021763934432,294392235.5424261,967681.4212921819,16.5
1,46.58333333333333,4398551.914964464,1.5607021763934432,297322531.8673344,967681.4212921819,16.58333333333333
1,46.66666666666667,4398551.914964464,1.5607021763934432,300272363.5010755,967681.4212921819,16.66666666666667
1,46.75,4398551.914964464,1.5607021763934432,303241860.6790415,967681.4212921819,16.75
1,46.83333333333333,4398551.914964464,1.5607021763934432,306231154.50486064,967681.4212921819,16.83333333333333
1,46.91666666666667,4398551.914964464,1.5607021763934432,309240376.9561852,967681.4212921819,16.91666666666667
1,47.0,4442537.434114108,1.5763091981573776,312269660.8905186,977358.2355051037,17.0
1,47.08333333333333,4442537.434114108,1.5763091981573776,315328816.8652938,977358.2355051037,17.08333333333333
1,47.16666666666667,4442537.434114108,1.5763091981573776,318408367.2132342,977358.2355051037,17.16666666666667
1,47.25,4442537.434114108,1.5763091981573776,321508447.8968275,977358.2355051037,17.25
1,47.33333333333333,4442537.434114108,1.5763091981573776,324629195.7849781,977358.2355051037,17.33333333333333
1,47.41666666666667,4442537.434114108,1.5763091981573776,327770748.6590497,977358.2355051037,17.41666666666667
1,47.5,4442537.434114108,1.5763091981573776,330933245.2189484,977358.2355051037,17.5
1,47.58333333333333,4442537.434114108,1.5763091981573776,334116825.0892465,977358.2355051037,17.58333333333333
1,47.66666666666667,4442537.434114108,1.5763091981573776,337321628.8253466,977358.2355051037,17.66666666666667
1,47.75,4442537.434114108,1.5763091981573776,340547797.91968733,977358.2355051037,17.75
1,47.83333333333333,4442537.434114108,1.5763091981573776,343795474.8079903,977358.2355051037,17.83333333333333
1,47.91666666666667,4442537.434114108,1.5763091981573776,347064802.87554866,977358.2355051037,17.91666666666667
