id,INVERSIÓN 16% - 25 años_sm,INVERSIÓN 16% - 25 años_pyg,INVERSIÓN 16% - 30 años_sm,INVERSIÓN 16% - 30 años_pyg,INVERSIÓN 22% - 25 años_sm,INVERSIÓN 22% - 25 años_pyg,INVERSIÓN 22% - 30 años_sm,INVERSIÓN 22% - 30 años_pyg,SISTEMA ACTUAL - 25 años_sm,SISTEMA ACTUAL - 25 años_pyg,SISTEMA ACTUAL - 30 años_sm,SISTEMA ACTUAL - 30 años_pyg,SISTEMA NUEVO - Extraord._sm,SISTEMA NUEVO - Extraord._pyg,SISTEMA NUEVO - Ordinario_sm,SISTEMA NUEVO - Ordinario_pyg
1,1.302656103581444,3671296.5392212407,1.2833000031400925,3616744.931649773,1.7911521424244854,5048032.741429206,1.7645375043176275,4973024.281018439,0.37933680022931227,1069090.9734750744,0.37933680022931227,1069090.9734750744,0.3570228708040586,1006203.2691530111,0.3570228708040586,1006203.2691530111
2,0.7193584729277142,2027379.4939877435,0.7745201668749145,2182842.5786262415,0.9891179002756069,2787646.8042331473,1.0649652294530068,3001408.5456110802,0.37375378518556573,1053356.272849043,0.37375378518556573,1053356.272849043,0.35176826840994424,991394.1391520404,0.35176826840994424,991394.1391520404
3,1.54345182943776,4349934.98613371,1.445841699471794,4074838.7950885487,2.122246265476919,5981160.605933849,1.9880323367737165,5602903.343246753,0.2932091180547564,826355.9487596089,0.2932091180547564,826355.9487596089,0.27596152287506487,777746.7753031614,0.27596152287506487,777746.7753031614
4,5.656860415189398,15942820.217894925,5.656860415189398,15942820.217894925,7.778183070885425,21921377.799605526,7.778183070885425,21921377.799605526,0.3975255507248213,1120352.6200165756,0.3975255507248213,1120352.6200165756,0.37414169479983195,1054449.5247214832,0.37414169479983195,1054449.5247214832
5,1.0687585779022548,3012099.4002391715,1.467526309625837,4135952.878839451,1.469543044615601,4141636.6753288624,2.017848675735527,5686935.208404248,0.7738070267411106,2180832.7243768997,0.67635551485053,1906183.5691914863,0.6365698963299106,1794055.1239449282,0.6365698963299106,1794055.1239449282
6,0.5394103766077891,1520228.8949597578,0.5912056974652229,1666204.4764573972,0.74168926783571,2090314.730569667,0.8129078340146815,2291031.155128921,0.2932091180547564,826355.9487596089,0.2932091180547564,826355.9487596089,0.27596152287506487,777746.7753031614,0.27596152287506487,777746.7753031614
7,10.349136717607637,29167137.597421087,10.349136717607637,29167137.597421087,14.2300629867105,40104814.19645399,14.2300629867105,40104814.19645399,0.791987518291775,2232071.0946020023,0.791987518291775,2232071.0946020023,0.7454000172157884,2100772.794919532,0.7454000172157884,2100772.794919532
8,2.006401896404595,5654674.567067412,2.1448531880048383,6044874.057405044,2.758802607556318,7775177.529717692,2.9491731335066533,8311701.828931937,0.5983594838957217,1686366.1072150548,0.5983594838957217,1686366.1072150548,0.5631618671959734,1587168.1009082869,0.5631618671959734,1587168.1009082869
9,0.4878834557438021,1375009.7494580494,0.6438717643393771,1814634.095385896,0.6708397516477265,1890638.4055048139,0.8853236759666415,2495121.8811556012,0.37126467408973407,1046341.171221883,0.3247928665476751,915368.9324771775,0.30568740380957654,861523.7011549906,0.30568740380957654,861523.7011549906
10,1.114414477552759,3140772.1527185813,1.2657508142246006,3567285.7717422196,1.532319906635044,4318561.70998805,1.7404073695588258,4905017.9361455515,0.4368279837600884,1231119.2958787973,0.4368279837600884,1231119.2958787973,0.4111322200094949,1158700.5137682797,0.4111322200094949,1158700.5137682797
11,2.0310465151979216,5724130.890526545,3.127340216789786,8813832.970422123,2.792688958397144,7870679.974474005,4.300092798085955,12119020.334330417,1.2614790418031092,3555246.5671783714,1.1821238604682447,3331598.5899394215,1.0368438190667888,2922153.524777036,0.9812630696892202,2765509.409514244
12,1.0506582529333142,2961086.964774006,1.362442431858188,3839793.304784841,1.4446550977833041,4071494.5765642505,1.8733583438050025,5279715.79407914,0.7675008800938282,2163060.0103825177,0.6765986175984506,1906868.709555595,0.6367986989161889,1794699.9619346778,0.6367986989161889,1794699.9619346778
13,0.9108200780325715,2566978.7990404447,1.1248858220123725,3170283.710350622,1.2523776072947859,3529595.8486806117,1.5467180052670129,4359140.101732107,0.4837409604213212,1363334.8886107763,0.47092372295349927,1327211.8631794143,0.4432223274856464,1249140.577110037,0.4432223274856464,1249140.577110037
14,1.1112629755805,3131890.224286132,1.584644266278995,4466028.289962352,1.527986591423191,4306349.058393442,2.178885866133625,6140788.898698254,0.5292530384159689,1491602.3062163398,0.507508655043639,1430319.7626479683,0.2900049457392222,817325.5786559818,0.41713512049534796,1175618.584253967
15,1.3003628982959456,3664833.562073836,1.8542979080088409,5225997.462907844,1.7879989851569278,5039146.147851532,2.549659623512168,7185746.511498319,0.6193142668206051,1745423.3072087804,0.593869714086424,1673712.517125194,0.3393541223350994,956407.152642968,0.4881176158910578,1375669.6867476224
16,0.5666547121921358,1597012.0418464914,0.7491399383540684,2111313.0745022846,0.7791502292641862,2195891.5575389243,1.030067415236842,2903055.4774406357,0.4165684987393593,1174021.6650931162,0.36517275833015095,1029172.2275659977,0.3423889409359282,964960.2304627814,0.3416537870123858,962888.3343975991
17,0.7130981889847636,2009736.035586783,1.0802063578133678,3044362.86152714,0.9805100098540515,2763387.048931831,1.4852837419933833,4185998.9345998242,0.3694742344751675,1041295.1466091161,0.35214062778560834,992443.5655382245,0.19383895688523053,546299.4336129554,0.2894339273682468,815716.2684447679
