escenario,ano_carrera,salario_pyg,salario_millones,capital_pyg,aporte_anual_pyg
16.0%_35a,15,3919893.6957735545,3.9198936957735544,190369334.251265,7526195.895885225
16.0%_35a,16,4355001.89600442,4.35500189600442,219059182.8465435,8361603.6403284855
16.0%_35a,17,4398551.914964464,4.398551914964464,250840790.40925074,8445219.676731769
16.0%_35a,18,4442537.434114108,4.442537434114108,286038780.07382137,8529671.873499086
16.0%_35a,19,4486962.808455249,4.4869628084552495,325011776.0145502,8614968.592234079
16.0%_35a,20,4531832.436539802,4.531832436539802,368155963.88633084,8701118.278156418
16.0%_35a,21,5034865.83699572,5.03486583699572,416829256.0838628,9666942.407031782
16.0%_35a,22,5085214.495365677,5.085214495365677,470700503.5290865,9763611.831102101
16.0%_35a,23,5136066.640319334,5.136066640319334,530315012.31560254,9861247.949413123
16.0%_35a,24,5187427.306722527,5.187427306722527,596275199.3333197,9959860.428907253
16.0%_35a,25,5239301.579789753,5.239301579789753,669246572.6163429,10059459.033196326
16.0%_35a,26,5820864.055146416,5.820864055146416,751028228.2927392,11176058.985881118
16.0%_35a,27,5879072.69569788,5.8790726956978805,841490519.9372709,11287819.575739931
16.0%_35a,28,5937863.422654859,5.937863422654859,941543593.8489203,11400697.771497328
16.0%_35a,29,5997242.056881407,5.997242056881407,1052192912.2402527,11514704.749212302
16.0%_35a,30,6057214.477450222,6.057214477450222,1174549234.176126,11629851.796704426
16.0%_35a,31,6729565.284447197,6.7295652844471965,1311069617.0783684,12920765.346138619
16.0%_35a,32,6796860.937291669,6.796860937291669,1462020765.3398726,13049972.999600004
16.0%_35a,33,6864829.546664585,6.864829546664585,1628915121.6399066,13180472.729596004
